"Surveillance_system","Collection_year","Collection_week","Pool_No","ID","Species","Pool_size","Life_stage_E_L_P_A","Sex_F_M","Location","Code","USUV","WNV"
"BRS",2020,30,"158","","Culex pipiens/torrentium",10,"A","F","Reusel","RSL20W30P13",0,0
"BRS",2020,30,"159","","Culex pipiens/torrentium",10,"A","F","Reusel","RSL20W30P14",0,0
"BRS",2020,30,"160","","Culex pipiens/torrentium",10,"A","F","Reusel","RSL20W30P15",0,0
"BRS",2020,30,"161","","Culex pipiens/torrentium",10,"A","F","Reusel","RSL20W30P16",0,0
"BRS",2020,30,"162","","Culex pipiens/torrentium",10,"A","F","Reusel","RSL20W30P17",0,0
"BRS",2020,30,"163","","Culex pipiens/torrentium",10,"A","F","Reusel","RSL20W30P18",0,0
"BRS",2020,30,"164","","Culex pipiens/torrentium",10,"A","F","Reusel","RSL20W30P19",0,0
"BRS",2020,30,"165","","Culex pipiens/torrentium",10,"A","F","Reusel","RSL20W30P20",0,0
"BRS",2020,30,"166","","Culex pipiens/torrentium",10,"A","F","Reusel","RSL20W30P21",0,0
"BRS",2020,30,"167","","Culex pipiens/torrentium",10,"A","F","Reusel","RSL20W30P22",0,0
"BRS",2020,30,"168","","Culex pipiens/torrentium",10,"A","F","Reusel","RSL20W30P23",0,0
"BRS",2020,30,"169","","Culex pipiens/torrentium",10,"A","F","Reusel","RSL20W30P24",0,0
"BRS",2020,30,"170","","Culex pipiens/torrentium",10,"A","F","Reusel","RSL20W30P25",0,0
"BRS",2020,30,"171","","Culex pipiens/torrentium",5,"A","F","Reusel","RSL20W30P26",0,0
"BRS",2020,33,"172","","Culex pipiens/torrentium",10,"A","F","Reusel","RSL20W33P1",0,0
"BRS",2020,33,"173","","Culex pipiens/torrentium",10,"A","F","Reusel","RSL20W33P2",0,0
"BRS",2020,33,"174","","Culex pipiens/torrentium",10,"A","F","Reusel","RSL20W33P3",0,0
"BRS",2020,33,"175","","Culex pipiens/torrentium",10,"A","F","Reusel","RSL20W33P4",0,0
"BRS",2020,33,"176","","Culex pipiens/torrentium",10,"A","F","Reusel","RSL20W33P5",0,0
"BRS",2020,33,"178","","Culex pipiens/torrentium",10,"A","F","Reusel","RSL20W33P7",0,0
"BRS",2020,33,"179","","Culex pipiens/torrentium",10,"A","F","Reusel","RSL20W33P8",0,0
"BRS",2020,33,"180","","Culex pipiens/torrentium",10,"A","F","Reusel","RSL20W33P9",0,0
"BRS",2020,33,"181","","Culex pipiens/torrentium",10,"A","F","Reusel","RSL20W33P10",0,0
"BRS",2020,33,"182","","Culex pipiens/torrentium",10,"A","F","Reusel","RSL20W33P11",0,0
"BRS",2020,33,"183","","Culex pipiens/torrentium",10,"A","F","Reusel","RSL20W33P12",0,0
"BRS",2020,33,"184","","Culex pipiens/torrentium",10,"A","F","Reusel","RSL20W33P13",0,0
"BRS",2020,33,"185","","Culex pipiens/torrentium",10,"A","F","Reusel","RSL20W33P14",0,0
"BRS",2020,33,"186","","Culex pipiens/torrentium",10,"A","F","Reusel","RSL20W33P15",0,0
"BRS",2020,33,"187","","Culex pipiens/torrentium",10,"A","F","Reusel","RSL20W33P16",0,0
"BRS",2020,33,"188","","Culex pipiens/torrentium",9,"A","F","Reusel","RSL20W33P17",0,0
"BRS",2020,35,"189","","Culex pipiens/torrentium",10,"A","F","Asten","ASN20W35P1",0,0
"BRS",2020,35,"190","","Culex pipiens/torrentium",10,"A","F","Asten","ASN20W35P2",0,0
"BRS",2020,35,"191","","Culex pipiens/torrentium",10,"A","F","Asten","ASN20W35P3",0,0
"BRS",2020,35,"192","","Culex pipiens/torrentium",10,"A","F","Asten","ASN20W35P4",0,0
"BRS",2020,35,"193","","Culex pipiens/torrentium",10,"A","F","Asten","ASN20W35P5",0,0
"BRS",2020,35,"194","","Culex pipiens/torrentium",10,"A","F","Asten","ASN20W35P6",0,0
"BRS",2020,35,"195","","Culex pipiens/torrentium",10,"A","F","Asten","ASN20W35P7",0,0
"BRS",2020,35,"196","","Culex pipiens/torrentium",10,"A","F","Asten","ASN20W35P8",0,0
"BRS",2020,35,"197","","Culex pipiens/torrentium",6,"A","F","Asten","ASN20W35P9",0,0
"BRS",2020,32,"198","","Culex pipiens/torrentium",10,"A","F","Asten","ASN20W32P1",0,0
"BRS",2020,32,"199","","Culex pipiens/torrentium",10,"A","F","Asten","ASN20W32P2",0,0
"BRS",2020,32,"200","","Culex pipiens/torrentium",10,"A","F","Asten","ASN20W32P3",0,0
"BRS",2020,32,"201","","Culex pipiens/torrentium",10,"A","F","Asten","ASN20W32P4",0,0
"BRS",2020,31,"202","","Culex pipiens/torrentium",5,"A","F","Asten","ASN20W31P1",0,0
"BRS",2020,33,"203","","Culex pipiens/torrentium",6,"A","F","Asten","ASN20W33P1",0,0
"BRS",2020,29,"204","","Culex pipiens/torrentium",10,"A","F","Asten","ASN20W29P1",0,0
"BRS",2020,29,"205","","Culex pipiens/torrentium",8,"A","F","Asten","ASN20W29P2",0,0
"BRS",2020,36,"206","","Culex pipiens/torrentium",6,"A","F","Asten","ASN20W36P1",0,0
"BRS",2020,33,"207","","Culex pipiens/torrentium",10,"A","F","Reusel","RSL20W33P18",0,0
"BRS",2020,34,"208","","Culex pipiens/torrentium",10,"A","F","Asten","ASN20W34P1",0,0
"BRS",2020,34,"209","","Culex pipiens/torrentium",7,"A","F","Asten","ASN20W34P2",0,0
"BRS",2020,28,"210","","Culex pipiens/torrentium",10,"A","F","Asten","ASN20W28P1",0,0
"BRS",2020,28,"211","","Culex pipiens/torrentium",10,"A","F","Asten","ASN20W28P2",0,0
"BRS",2020,28,"212","","Culex pipiens/torrentium",10,"A","F","Asten","ASN20W28P3",0,0
"BRS",2020,28,"213","","Culex pipiens/torrentium",10,"A","F","Asten","ASN20W28P4",0,0
"BRS",2020,28,"214","","Culex pipiens/torrentium",10,"A","F","Asten","ASN20W28P5",0,0
"BRS",2020,28,"215","","Culex pipiens/torrentium",10,"A","F","Asten","ASN20W28P6",0,0
"BRS",2020,28,"216","","Culex pipiens/torrentium",10,"A","F","Asten","ASN20W28P7",0,0
"BRS",2020,28,"217","","Culex pipiens/torrentium",10,"A","F","Asten","ASN20W28P8",0,0
"BRS",2020,28,"218","","Culex pipiens/torrentium",10,"A","F","Asten","ASN20W28P9",0,0
"BRS",2020,28,"219","","Culex pipiens/torrentium",10,"A","F","Asten","ASN20W28P10",0,0
"BRS",2020,28,"220","","Culex pipiens/torrentium",10,"A","F","Asten","ASN20W28P11",0,0
"BRS",2020,28,"221","","Culex pipiens/torrentium",10,"A","F","Asten","ASN20W28P12",0,0
"BRS",2020,28,"222","","Culex pipiens/torrentium",10,"A","F","Asten","ASN20W28P13",0,0
"BRS",2020,28,"223","","Culex pipiens/torrentium",10,"A","F","Asten","ASN20W28P14",0,0
"BRS",2020,28,"224","","Culex pipiens/torrentium",10,"A","F","Asten","ASN20W28P15",0,0
"BRS",2020,28,"225","","Culex pipiens/torrentium",10,"A","F","Asten","ASN20W28P16",0,0
"BRS",2020,28,"226","","Culex pipiens/torrentium",10,"A","F","Asten","ASN20W28P17",0,0
"BRS",2020,28,"227","","Culex pipiens/torrentium",10,"A","F","Asten","ASN20W28P18",0,0
"BRS",2020,28,"228","","Culex pipiens/torrentium",10,"A","F","Asten","ASN20W28P19",0,0
"BRS",2020,28,"229","","Culex pipiens/torrentium",10,"A","F","Asten","ASN20W28P20",0,0
"BRS",2020,28,"230","","Culex pipiens/torrentium",10,"A","F","Asten","ASN20W28P21",0,0
"BRS",2020,28,"231","","Culex pipiens/torrentium",10,"A","F","Asten","ASN20W28P22",0,0
"BRS",2020,28,"232","","Culex pipiens/torrentium",10,"A","F","Asten","ASN20W28P23",0,0
"BRS",2020,28,"233","","Culex pipiens/torrentium",10,"A","F","Asten","ASN20W28P24",0,0
"BRS",2020,28,"234","","Culex pipiens/torrentium",10,"A","F","Asten","ASN20W28P25",0,0
"BRS",2020,28,"235","","Culex pipiens/torrentium",10,"A","F","Asten","ASN20W28P26",0,0
"BRS",2020,28,"236","","Culex pipiens/torrentium",10,"A","F","Asten","ASN20W28P27",0,0
"BRS",2020,28,"237","","Culex pipiens/torrentium",10,"A","F","Asten","ASN20W28P28",0,0
"BRS",2020,28,"238","","Culex pipiens/torrentium",10,"A","F","Asten","ASN20W28P29",0,0
"BRS",2020,28,"239","","Culex pipiens/torrentium",10,"A","F","Asten","ASN20W28P30",0,0
"BRS",2020,28,"240","","Culex pipiens/torrentium",10,"A","F","Asten","ASN20W28P31",0,0
"BRS",2020,28,"241","","Culex pipiens/torrentium",10,"A","F","Asten","ASN20W28P32",0,0
"BRS",2020,38,"242","","Culex pipiens/torrentium",10,"A","F","Asten","ASN20W38P1",0,0
"BRS",2020,38,"243","","Culex pipiens/torrentium",10,"A","F","Asten","ASN20W38P2",0,0
"BRS",2020,38,"244","","Culex pipiens/torrentium",10,"A","F","Asten","ASN20W38P3",0,0
"BRS",2020,38,"245","","Culex pipiens/torrentium",10,"A","F","Asten","ASN20W38P4",0,0
"BRS",2020,38,"246","","Culex pipiens/torrentium",10,"A","F","Asten","ASN20W38P5",0,0
"BRS",2020,38,"247","","Culex pipiens/torrentium",10,"A","F","Asten","ASN20W38P6",0,0
"BRS",2020,38,"248","","Culex pipiens/torrentium",10,"A","F","Asten","ASN20W38P7",0,0
"BRS",2020,38,"249","","Culex pipiens/torrentium",10,"A","F","Asten","ASN20W38P8",0,0
"BRS",2020,38,"250","","Culex pipiens/torrentium",10,"A","F","Asten","ASN20W38P9",0,0
"BRS",2020,38,"251","","Culex pipiens/torrentium",10,"A","F","Asten","ASN20W38P10",0,0
"BRS",2020,38,"252","","Culex pipiens/torrentium",6,"A","F","Asten","ASN20W38P11",0,0
"BRS_IS",2020,37,"IS_001","","Culex pipiens/torrentium",9,"A","F","Utrecht_Griend","UGR20TL1TN1.1",0,0
"BRS_IS",2020,37,"IS_002","","Culex pipiens/torrentium",7,"A","F","Utrecht_Griend","UGR20TL2TN1.1",0,0
"BRS_IS",2020,37,"IS_003","","Culex pipiens/torrentium",9,"A","F","Utrecht_Griend","UGR20TL3TN1.1",0,0
"BRS_IS",2020,37,"IS_004","","Culex pipiens/torrentium",3,"A","F","Utrecht_Griend","UGR20TL3TN1.2",0,0
