INSDC Sequence accession,UniqueID/Isolate,ID,Wild_Cap,location,postal.code,Lat,Long,English,Latin,family,order,NSamplesTested,BirdUSUV,BirdTestedWNV,DateInfo,DeathOrSampleDate
,,3190723005,Captive,Unknown,,NA,NA,Red-breasted Parakeet,Psittacula alexandri,Psittacidae,Psittaciformes,1,0,TRUE,DateSampling,23-07-2019
,,3190801035,Captive,Amersfoort,3823,52.1562499,5.3896944,Parrot,Psittaciformes (order),Unknown,Psittaciformes,1,0,TRUE,DateDeath,30-07-2019
,,3190828010,Captive,Utrecht,3584,52.0907006,5.1215634,Rock Pigeon,Columba livia domestica,Columbidae,Columbiformes,1,0,TRUE,DateDeath,28-08-2019
,,3190902011,Captive,Hoogvliet,3192,51.8652855,4.3641111,Cockatiel,Nymphicus hollandicus,Cacatuidae,Psittaciformes,1,0,TRUE,DateSampling,02-09-2019
,,3190904011,Captive,Capelle aan den IJssel,2905,51.9312552,4.5883596,Zebra Finch,Taeniopygia (genus),Estrildidae,Passeriformes,4,1,TRUE,DateDeath,03-09-2019
,,3190910003,Captive,Nieuw-Amsterdam,7833,52.7152155,6.8589395,Cockatiel,Nymphicus hollandicus,Cacatuidae,Psittaciformes,1,0,TRUE,DateDeath,08-09-2019
,,3190913047,Captive,Druten,6652,51.8861226,5.6030143,Hill Myna,Gracula religiosa,Sturnidae,Passeriformes,4,1,TRUE,DateDeath,12-09-2019
,,3190918012,Captive,Maarssen,3601,52.1384846,5.040082,Blue-and-yellow Macaw,Ara ararauna,Psittacidae,Psittaciformes,3,0,TRUE,DateDeath,16-09-2019
,,3191015001,Captive,Venhuizen,1606,52.6626396,5.1997975,Senegal Parrot,Poicephalus senegalus,Psittacidae,Psittaciformes,1,0,TRUE,DateDeath,13-10-2019
,,3191018037,Captive,Zoetermeer,2726,52.06228915,4.487754536,Budgerigar,Melopsittacus undulatus,Psittaculidae,Psittaciformes,1,0,TRUE,DateDeath,17-10-2019
,,3191021002,Captive,Utrecht,3584,52.0907006,5.1215634,Cockatiel,Nymphicus hollandicus,Cacatuidae,Psittaciformes,1,0,TRUE,DateDeath,20-10-2019
