Row,INSDC Sequence accession,ID,applicant,DeathOrSampleDate,DateInfo,English,Dutch,Latin,family,order,location,province,Lat,Long,BirdUSUV,BirdTestedWNV
895,,AS20221808,DWHC,23-08-2022,DateFound,Common Barn Owl,Kerkuil,Tyto alba,Tytonidae,Strigiformes,Weerselo,Overijssel,52.34,6.91,0,TRUE
896,,AS20221765,DWHC,25-08-2022,DateFound,Great Spotted Woodpecker,Grote Bonte Specht,Dendrocopos major,Picidae,Piciformes,Putte,Brabant,51.37,4.4,0,TRUE
897,,AS20221760,DWHC,24-08-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Heelsum,Gelderland,51.96,5.56,1,TRUE
898,,AS20221780,DWHC,26-08-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Heelsum,Gelderland,51.96,5.56,1,TRUE
899,,AS20221789,DWHC,24-08-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Alblasserdam,Z-Holland,51.86,4.66,1,TRUE
900,,AS20221813,DWHC,24-08-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Heelsum,Gelderland,51.97,5.72,1,TRUE
901,,AS20221775,DWHC,28-08-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Venlo,Limburg,51.37,6.18,1,TRUE
902,,AS20221833,DWHC,28-08-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Almere,Flevoland,52.35,5.22,1,TRUE
903,,AS20221828,DWHC,26-08-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Klein Zundert,Brabant,51.55,4.73,1,TRUE
904,,AS20221770,DWHC,22-08-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Klein Zundert,Brabant,51.58,4.64,1,TRUE
905,,AS20221798,DWHC,30-08-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Gendt,Gelderland,51.88,5.97,1,TRUE
906,,AS20221818,DWHC,31-08-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Eindhoven,Brabant,51.44,5.46,1,TRUE
907,,AS20221823,DWHC,31-08-2022,DateFound,European Herring Gull,Zilvermeeuw,Larus argentatus,Laridae,Charadriiformes,Den helder,N-Holland,52.96,4.77,0,TRUE
908,,AS20221803,DWHC,02-09-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Bosschenhoofd,Brabant,51.56,4.55,1,TRUE
909,,AS20221851,DWHC,03-09-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Houten,Utrecht,52.01,5.19,1,TRUE
910,,AS20221846,DWHC,03-09-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Delft,Z-Holland,52.02,4.38,1,TRUE
911,,AS20221842,DWHC,04-09-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Delft,Z-Holland,52.01,4.38,1,TRUE
912,,AS20221923,DWHC,04-09-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Heesch,Brabant,51.73,5.52,1,TRUE
913,,AS20221865,DWHC,04-09-2022,DateFound,Common Barn Owl,Kerkuil,Tyto alba,Tytonidae,Strigiformes,De Cocksdorp (Texel),N-Holland,53.13,4.81,0,TRUE
914,,AS20221870,DWHC,06-09-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Appelscha,Friesland,52.94,6.29,0,TRUE
915,,AS20221898,DWHC,11-09-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Bennekom,Gelderland,51.99,5.68,1,TRUE
916,,AS20221875,DWHC,11-09-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Sibculo,Overijssel,52.48,6.64,1,TRUE
917,,AS20221880,DWHC,12-09-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Enschede,Overijssel,52.19,6.84,1,TRUE
918,,AS20221908,DWHC,12-09-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Nuenen,Brabant,51.47,5.56,1,TRUE
919,,AS20221913,DWHC,11-09-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Saasveld,Overijssel,52.34,6.79,1,TRUE
920,,AS20221860,DWHC,14-09-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Son,Brabant,51.51,5.49,1,TRUE
921,,AS20221903,DWHC,13-09-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Nieuw-Vennep,N-Holland,52.26,4.63,1,TRUE
922,,AS20221884,DWHC,14-09-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Steenenkamer,Gelderland,52.25,6.15,1,TRUE
923,,AS20221889,DWHC,18-09-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Leersum,Utrecht,52.02,5.43,1,TRUE
