PRIMARYSAMPLEBARCODE,COLLECTIONDATE,MATTYPE,SPECIES,SPECIES EN,SPECIES LATIN,Location,BirdId
17TV0832,06-10-2018,Cloacal/throat swab,Kauw,Western Jackdaw,Coloeus monedula,"Siebengewald, Nederland",11601568
18TV1344,12-10-2018,Cloacal/throat swab,Huismus,House Sparrow,Passer domesticus,"Gorssel, Nederland",10402504
18TV1092,05-10-2018,Cloacal/throat swab,Knobbelzwaan,Mute swan,Cygnus olor,"Almere, Nederland",11350403
17TV0864,06-10-2018,Cloacal/throat swab,Kauw,Western Jackdaw,Coloeus monedula,"Siebengewald, Nederland",11601522
17TV0850,06-10-2018,Cloacal/throat swab,Kauw,Western Jackdaw,Coloeus monedula,"Siebengewald, Nederland",11148446
17TV0309,12-10-2018,Cloacal/throat swab,Merel,Common Blackbird,Turdus merula,"Weert, Nederland",11398485
18TV0571,05-10-2018,Cloacal/throat swab,Sperwer,Eurasian Sparrowhawk,Accipiter nisus,"Bloemendaal, Nederland",11409012
17TV1070,06-10-2018,Cloacal/throat swab,Kauw,Western Jackdaw,Coloeus monedula,"Siebengewald, Nederland",11601526
18TV1404,06-10-2018,Cloacal/throat swab,Zwartkop,Eurasian Blackcap,Sylvia atricapilla,"Lelystad, Nederland",11353659
18TV0574,05-10-2018,Cloacal/throat swab,Winterkoning,Eurasian Wren,Troglodytes troglodytes,"Bloemendaal, Nederland",11408839
18TV0875,06-10-2018,Cloacal/throat swab,Huismus,House Sparrow,Passer domesticus,"Lelystad, Nederland",11353653
18TV1355,08-10-2018,Cloacal/throat swab,Zanglijster,Song trush,Turdus philomeus,"Almen, Nederland",11351561
17TV0448,06-10-2018,Cloacal/throat swab,Kauw,Western Jackdaw,Coloeus monedula,"Siebengewald, Nederland",11601523
17TV1063,12-10-2018,Cloacal/throat swab,Meerkoet,Eurasian Coot,Fulica atra,"Leiden, Nederland",11373568
18TV1276,12-10-2018,Cloacal/throat swab,Merel,Common Blackbird,Turdus merula,"Ospel, Nederland",11357883
17TV1066,12-10-2018,Cloacal/throat swab,Meerkoet,Eurasian Coot,Fulica atra,"Leiden, Nederland",11373567
18TV1432,14-10-2018,Cloacal/throat swab,Zwartkop,Eurasian Blackcap,Sylvia atricapilla,"Overdinkel, Nederland",11358645
18TV1014,13-10-2018,Cloacal/throat swab,Zwartkop,Eurasian Blackcap,Sylvia atricapilla,"Castricum, Nederland",11438931
18TV1280,15-10-2018,Cloacal/throat swab,Merel,Common Blackbird,Turdus merula,"Liessel, Nederland",10785899
18TV1024,13-10-2018,Cloacal/throat swab,Zanglijster,Song trush,Turdus philomeus,"Castricum, Nederland",11438930
18TV1352,16-10-2018,Cloacal/throat swab,Merel,Common Blackbird,Turdus merula,"Almen, Nederland",11369509
18TV1327,15-10-2018,Cloacal/throat swab,Zanglijster,Song trush,Turdus philomeus,"Berg en Dal, Nederland",11381970
18TV0898,16-10-2018,Cloacal/throat swab,Zanglijster,Song trush,Turdus philomeus,"Almen, Nederland",11369506
18TV1438,16-10-2018,Cloacal/throat swab,Merel,Common Blackbird,Turdus merula,"Overdinkel, Nederland",11363564
17TV1013,13-10-2018,Cloacal/throat swab,Merel,Common Blackbird,Turdus merula,"Terwispel, Nederland",11358008
18TV1444,17-10-2018,Cloacal/throat swab,Roodmus,Common Rosefinch,Carpodacus erythrinus,"Utrecht, Nederland",11482981
18TV1442,16-10-2018,Cloacal/throat swab,Waterral,Water Rail,Rallus aquaticus,"Utrecht, Nederland",11482970
18TV1431,17-10-2018,Cloacal/throat swab,Zanglijster,Song trush,Turdus philomeus,"Overdinkel, Nederland",11367101
18TV1234,17-10-2018,Cloacal/throat swab,Merel,Common Blackbird,Turdus merula,"Utrecht, Nederland",11483008
18TV1437,18-10-2018,Cloacal/throat swab,Merel,Common Blackbird,Turdus merula,"Overdinkel, Nederland",11166493
18TV1520,17-10-2018,Cloacal/throat swab,Ringmus,Eurasian Tree Sparrow,Passer montanus,"Eastermar, Nederland",11365215
18TV1524,22-10-2018,Cloacal/throat swab,Merel,Common Blackbird,Turdus merula,"Eastermar, Nederland",11213174
18TV1199,21-10-2018,Cloacal/throat swab,Merel,Common Blackbird,Turdus merula,"IJsselstein, Nederland",11482965
16TV1162,19-10-2018,Cloacal/throat swab,Wilde Eend,Mallard,Anas platyrhynchos,"Sassenheim, Nederland",11369187
18TV1274,20-10-2018,Cloacal/throat swab,Roek,Rook,Corvus frugilegus,"Liessel, Nederland",11369723
18TV0206,21-10-2018,Cloacal/throat swab,Merel,Common Blackbird,Turdus merula,"Naarden, Nederland",11688648
18TV0865,25-09-2018,Cloacal/throat swab,Zwartkop,Eurasian Blackcap,Sylvia atricapilla,"Lelystad, Nederland",11371024
18TV1391,20-10-2018,Cloacal/throat swab,Merel,Common Blackbird,Turdus merula,"Lelystad, Nederland",10950616
18TV1324,20-10-2018,Cloacal/throat swab,Wilde Eend,Mallard,Anas platyrhynchos,"Culemborg, Nederland",11373569
17TV0265,12-10-2018,Cloacal/throat swab,Meerkoet,Eurasian Coot,Fulica atra,"Culemborg, Nederland",11373570
18TV1460,21-10-2018,Cloacal/throat swab,Torenvalk,Common Kestrel,Falco tinnunculus,"Breukelen, Nederland",11371388
18TV1285,21-10-2018,Cloacal/throat swab,Zwarte Kraai,Carrion Crow,Corvus corone,"Liessel, Nederland",11370057
18TV1095,22-10-2018,Cloacal/throat swab,Kauw,Western Jackdaw,Coloeus monedula,"Sneek, Nederland",11372259
18TV1097,22-10-2018,Cloacal/throat swab,Zwarte Kraai,Carrion Crow,Corvus corone,"Sneek, Nederland",11372261
18TV1322,24-10-2018,Cloacal/throat swab,Kauw,Western Jackdaw,Coloeus monedula,"Amsterdam, Nederland",11388700
18TV1326,24-10-2018,Cloacal/throat swab,Zwarte Kraai,Carrion Crow,Corvus corone,"Amsterdam, Nederland",11388704
18TV1330,24-10-2018,Cloacal/throat swab,Zwarte Kraai,Carrion Crow,Corvus corone,"Amsterdam, Nederland",11388705
18TV1339,24-10-2018,Cloacal/throat swab,Zwarte Kraai,Carrion Crow,Corvus corone,"Amsterdam, Nederland",11388707
18TV1318,24-10-2018,Cloacal/throat swab,Meerkoet,Eurasian Coot,Fulica atra,"Amsterdam, Nederland",11388712
17TV0586,24-10-2018,Cloacal/throat swab,Wilde Eend,Mallard,Anas platyrhynchos,"Sint Philipsland, Nederland",11388686
18TV0810,21-10-2018,Cloacal/throat swab,Merel,Common Blackbird,Turdus merula,"Dronten, Nederland",11394374
18TV1331,24-10-2018,Cloacal/throat swab,Meerkoet,Eurasian Coot,Fulica atra,"Amsterdam, Nederland",11388710
