,ID,capture.date,English,Dutch,Latin,family,order,Lat,Long,PMA.USUV.Ab6000,PMA.WNV.Ab6000,VNT.USUV,VNT.WNV,FRNT.USUV,FRNT.WNV,SeroResult,BirdId
2357,21TV1984,07-05-2021,Western Jackdaw,Kauw,Coloeus monedula,Corvidae,Passeriformes,52.50553894,4.746319771,0,0,NA,NA,NA,NA,NA,12720273
2358,21TV1985,07-05-2021,Western Jackdaw,Kauw,Coloeus monedula,Corvidae,Passeriformes,52.50553894,4.746319771,1,0,NA,NA,2560,10,USUV,12720274
2359,21TV1986,07-05-2021,Western Jackdaw,Kauw,Coloeus monedula,Corvidae,Passeriformes,52.50553894,4.746319771,0,0,NA,NA,NA,NA,NA,12720275
2360,21TV1987,07-05-2021,Western Jackdaw,Kauw,Coloeus monedula,Corvidae,Passeriformes,52.50553894,4.746319771,0,0,NA,NA,NA,NA,NA,12720276
2361,21TV2827,09-07-2021,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,52.34310038,4.524650574,0,0,NA,NA,NA,NA,NA,12712254
2362,21TV1748,10-07-2021,Eurasian Jay,Gaai,Garrulus glandarius,Corvidae,Passeriformes,52.2887426,6.086425781,1,1,NA,NA,NA,NA,NA,12687650
2363,21TV3703,10-07-2021,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.13616943,5.003493786,0,0,NA,NA,NA,NA,NA,12719537
2364,21TV3708,10-07-2021,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.13448715,5.006367207,0,0,NA,NA,NA,NA,NA,12473084
2365,21TV3797,10-07-2021,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.13448715,5.006367207,1,0,NA,NA,2560,10,USUV,13524563
2366,21TV3787,10-07-2021,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.13448715,5.006367207,1,0,NA,NA,2560,40,USUV,13118680
2367,21TV3786,10-07-2021,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.13448715,5.006367207,1,1,NA,NA,2560,10,USUV,12719013
2368,21TV3742,10-07-2021,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,52.13616943,5.003493786,1,1,NA,NA,10,10,Negative,12719012
2369,21TV3697,10-07-2021,Tawny Owl,Bosuil,Strix aluco,Strigidae,Strigiformes,52.13448715,5.006367207,1,1,NA,NA,10,10,Negative,13523664
2370,20TV4210,11-07-2021,Eurasian Collared Dove,Turkse Tortel,Streptopelia decaocto,Columbidae,Columbiformes,52.02306252,5.030912825,1,1,NA,NA,320,40,USUV,12695625
2371,21TV2350,03-07-2021,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,53.18621019,6.055748777,0,0,NA,NA,NA,NA,NA,12610492
2372,20TV2304,13-07-2021,Great Spotted Woodpecker,Grote Bonte Specht,Dendrocopos major,Picidae,Piciformes,52.2368563,7.0224612,0,0,NA,NA,NA,NA,NA,12693850
2373,20TV3362,13-07-2021,European Greenfinch,Groenling,Chloris chloris,Fringillidae,Passeriformes,51.8113566,5.917025692,0,0,NA,NA,NA,NA,NA,10480594
2374,21TV2277,13-07-2021,Eurasian Magpie,Ekster,Pica pica,Corvidae,Passeriformes,52.11359288,6.147228799,1,1,NA,NA,40,10,Negative,12694447
2375,20TV2319,14-07-2021,Great Spotted Woodpecker,Grote Bonte Specht,Dendrocopos major,Picidae,Piciformes,52.2368563,7.0224612,0,0,NA,NA,NA,NA,NA,12693890
2376,20TV2126,14-07-2021,Great Spotted Woodpecker,Grote Bonte Specht,Dendrocopos major,Picidae,Piciformes,52.2369988,7.022559643,0,0,NA,NA,NA,NA,NA,12505206
2377,20TV3947,19-07-2021,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.7712967,6.235975,1,1,NA,NA,1280,80,USUV,Geen
2378,20TV2130,14-07-2021,Great Spotted Woodpecker,Grote Bonte Specht,Dendrocopos major,Picidae,Piciformes,52.2369988,7.022559643,0,0,NA,NA,NA,NA,NA,12694191
2379,21TV2241,18-07-2021,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,52.30849075,5.196929932,1,0,NA,NA,10,10,Negative,12084886
